% Stnr    År Mnd Dag Time(NMT)    TA                       
82290 2013   1   1        14  1.6                
 82290 2013   1   2        14 -0.9                 
 82290 2013   1   3        14  1.6                
 82290 2013   1   4        14 -1.2                 
 82290 2013   1   5        14  0.4                
 82290 2013   1   6        14  3.2                
 82290 2013   1   7        14  3.5                
 82290 2013   1   8        14  4.3                
 82290 2013   1   9        14  0.0                
 82290 2013   1  10        14 -1.2                  
 82290 2013   1  11        14 -1.5                  
 82290 2013   1  12        14  0.5                 
 82290 2013   1  13        14  0.9                 
 82290 2013   1  14        14  2.2                 
 82290 2013   1  15        14 -1.5                  
 82290 2013   1  16        14 -4.0                  
 82290 2013   1  17        14 -3.4                  
 82290 2013   1  18        14  4.7                 
 82290 2013   1  19        14  1.8                 
 82290 2013   1  20        14 -3.6                  
 82290 2013   1  21        14  1.4                 
 82290 2013   1  22        14  0.6                 
 82290 2013   1  23        14 -1.9                  
 82290 2013   1  24        14 -1.2                  
 82290 2013   1  25        14 -3.1                  
 82290 2013   1  26        14 -0.9                  
 82290 2013   1  27        14 -2.4                  
 82290 2013   1  28        14 -4.3                  
 82290 2013   1  29        14 -0.8                  
 82290 2013   1  30        14  0.5                 
 82290 2013   1  31        14  0.7                 
 82290 2013   2   1        14  0.2                
 82290 2013   2   2        14 -0.8                 
 82290 2013   2   3        14  0.4                
 82290 2013   2   4        14 -2.8                 
 82290 2013   2   5        14 -0.4                 
 82290 2013   2   6        14 -2.8                 
 82290 2013   2   7        14 -5.4                 
 82290 2013   2   8        14 -4.1                 
 82290 2013   2   9        14 -3.1                 
 82290 2013   2  10        14 -3.5                  
 82290 2013   2  11        14 -2.0                  
 82290 2013   2  12        14 -0.4                  
 82290 2013   2  13        14 -0.4                  
 82290 2013   2  14        14 -1.7                  
 82290 2013   2  15        14 -1.7                  
 82290 2013   2  16        14 -2.0                  
 82290 2013   2  17        14  1.3                 
 82290 2013   2  18        14  0.2                 
 82290 2013   2  19        14 -3.3                  
 82290 2013   2  20        14 -0.1                  
 82290 2013   2  21        14  4.1                 
 82290 2013   2  22        14  2.2                 
 82290 2013   2  23        14  4.1                 
 82290 2013   2  24        14  4.7                 
 82290 2013   2  25        14  4.8                 
 82290 2013   2  26        14  4.2                 
 82290 2013   2  27        14  5.7                 
 82290 2013   2  28        14  4.3                 
 82290 2013   3   1        14  0.8                
 82290 2013   3   2        14 -2.4                 
 82290 2013   3   3        14 -3.8                 
 82290 2013   3   4        14 -3.0                 
 82290 2013   3   5        14 -2.7                 
 82290 2013   3   6        14 -2.7                 
 82290 2013   3   7        14 -2.0                 
 82290 2013   3   8        14 -2.8                 
 82290 2013   3   9        14 -6.2                 
 82290 2013   3  10        14  0.2                 
 82290 2013   3  11        14 -3.1                  
 82290 2013   3  12        14 -6.0                  
 82290 2013   3  13        14 -4.7                  
 82290 2013   3  14        14 -3.2                  
 82290 2013   3  15        14 -2.3                  
 82290 2013   3  16        14 -0.7                  
 82290 2013   3  17        14  1.2                 
 82290 2013   3  18        14  2.0                 
 82290 2013   3  19        14 -5.6                  
 82290 2013   3  20        14 -0.4                  
 82290 2013   3  21        14 -2.3                  
 82290 2013   3  22        14 -2.3                  
 82290 2013   3  23        14  2.0                 
 82290 2013   3  24        14  1.7                 
 82290 2013   3  25        14  1.2                 
 82290 2013   3  26        14  1.8                 
 82290 2013   3  27        14 -2.3                  
 82290 2013   3  28        14 -1.1                  
 82290 2013   3  29        14  0.0                 
 82290 2013   3  30        14  2.1                 
 82290 2013   3  31        14  0.9                 
 82290 2013   4   1        14  0.0                
 82290 2013   4   2        14  0.6                
 82290 2013   4   3        14  1.4                
 82290 2013   4   4        14 -2.4                 
 82290 2013   4   5        14 -0.2                 
 82290 2013   4   6        14 -0.5                 
 82290 2013   4   7        14 -0.4                 
 82290 2013   4   8        14 -0.6                 
 82290 2013   4   9        14 -0.2                 
 82290 2013   4  10        14  3.2                 
 82290 2013   4  11        14  4.3                 
 82290 2013   4  12        14  3.8                 
 82290 2013   4  13        14  5.5                 
 82290 2013   4  14        14  6.4                 
 82290 2013   4  15        14  7.3                 
 82290 2013   4  16        14  9.1                 
 82290 2013   4  17        14  4.9                 
 82290 2013   4  18        14  4.5                 
 82290 2013   4  19        14  3.9                 
 82290 2013   4  20        14  3.1                 
 82290 2013   4  21        14  7.8                 
 82290 2013   4  22        14  8.4                 
 82290 2013   4  23        14  6.9                 
 82290 2013   4  24        14  5.0                 
 82290 2013   4  25        14  2.3                 
 82290 2013   4  26        14  4.6                 
 82290 2013   4  27        14  4.3                 
 82290 2013   4  28        14  6.0                 
 82290 2013   4  29        14  8.1                 
 82290 2013   4  30        14  6.1                 
 82290 2013   5   1        14  3.3                
 82290 2013   5   2        14  5.6                
 82290 2013   5   3        14  5.3                
 82290 2013   5   4        14  5.2                
 82290 2013   5   5        14  7.5                
 82290 2013   5   6        14  8.0                
 82290 2013   5   7        14  6.1                
 82290 2013   5   8        14  7.2                
 82290 2013   5   9        14 10.9                 
 82290 2013   5  10        14  9.6                 
 82290 2013   5  11        14  7.3                 
