% Stnr    År Mnd Dag Time(NMT)    TA                       
 9580 2013   1   1        14 -11.4                 
 9580 2013   1   2        14  -7.9                
 9580 2013   1   3        14  -9.3                
 9580 2013   1   4        14  -2.4                
 9580 2013   1   5        14  -0.3                
 9580 2013   1   6        14   0.5               
 9580 2013   1   7        14  -3.1                
 9580 2013   1   8        14  -7.5                
 9580 2013   1   9        14  -9.2                
 9580 2013   1  10        14 -12.6                  
 9580 2013   1  11        14 -23.5                  
 9580 2013   1  12        14 -27.3                  
 9580 2013   1  13        14 -29.6                  
 9580 2013   1  14        14 -28.7                  
 9580 2013   1  15        14 -29.9                  
 9580 2013   1  16        14 -22.5                  
 9580 2013   1  17        14 -27.8                  
 9580 2013   1  18        14 -26.2                  
 9580 2013   1  19        14 -20.1                  
 9580 2013   1  20        14  -8.7                 
 9580 2013   1  21        14 -23.4                  
 9580 2013   1  22        14 -25.7                  
 9580 2013   1  23        14 -22.0                  
 9580 2013   1  24        14 -16.2                  
 9580 2013   1  25        14 -22.6                  
 9580 2013   1  26        14 -17.1                  
 9580 2013   1  27        14  -6.2                 
 9580 2013   1  28        14  -3.4                 
 9580 2013   1  29        14   0.2                
 9580 2013   1  30        14   0.3                
 9580 2013   1  31        14  -1.6                 
 9580 2013   2   1        14 -13.3                 
 9580 2013   2   2        14  -0.1                
 9580 2013   2   3        14 -14.9                 
 9580 2013   2   4        14  -7.0                
 9580 2013   2   5        14  -7.5                
 9580 2013   2   6        14  -3.2                
 9580 2013   2   7        14  -7.9                
 9580 2013   2   8        14 -10.7                 
 9580 2013   2   9        14 -18.7                 
 9580 2013   2  10        14 -14.5                  
 9580 2013   2  11        14  -7.1                 
 9580 2013   2  12        14 -12.9                  
 9580 2013   2  13        14  -6.1                 
 9580 2013   2  14        14  -5.2                 
 9580 2013   2  15        14  -4.8                 
 9580 2013   2  16        14  -3.0                 
 9580 2013   2  17        14  -4.0                 
 9580 2013   2  18        14  -2.6                 
 9580 2013   2  19        14  -4.4                 
 9580 2013   2  20        14 -12.5                  
 9580 2013   2  21        14  -9.6                 
 9580 2013   2  22        14  -4.5                 
 9580 2013   2  23        14   0.4                
 9580 2013   2  24        14  -3.8                 
 9580 2013   2  25        14  -1.3                 
 9580 2013   2  26        14  -3.9                 
 9580 2013   2  27        14   0.5                
 9580 2013   2  28        14   2.8                
 9580 2013   3   1        14   0.4               
 9580 2013   3   2        14   1.3               
 9580 2013   3   3        14  -0.5                
 9580 2013   3   4        14   5.1               
 9580 2013   3   5        14   1.1               
 9580 2013   3   6        14  -0.9                
 9580 2013   3   7        14  -3.5                
 9580 2013   3   8        14  -7.0                
 9580 2013   3   9        14  -9.7                
 9580 2013   3  10        14 -10.4                  
 9580 2013   3  11        14  -2.8                 
 9580 2013   3  12        14  -4.4                 
 9580 2013   3  13        14  -5.7                 
 9580 2013   3  14        14  -6.8                 
 9580 2013   3  15        14  -6.7                 
 9580 2013   3  16        14  -5.1                 
 9580 2013   3  17        14  -2.8                 
 9580 2013   3  18        14  -3.7                 
 9580 2013   3  19        14  -7.8                 
 9580 2013   3  20        14  -5.6                 
 9580 2013   3  21        14  -1.7                 
 9580 2013   3  22        14  -5.9                 
 9580 2013   3  23        14  -3.8                 
 9580 2013   3  24        14  -1.5                 
 9580 2013   3  25        14   0.6                
 9580 2013   3  26        14   0.5                
 9580 2013   3  27        14   0.7                
 9580 2013   3  28        14   0.5                
 9580 2013   3  29        14  -0.5                 
 9580 2013   3  30        14   0.5                
 9580 2013   3  31        14   1.5                
 9580 2013   4   1        14   2.0               
 9580 2013   4   2        14   0.4               
 9580 2013   4   3        14   4.3               
 9580 2013   4   4        14   0.7               
 9580 2013   4   5        14   0.8               
 9580 2013   4   6        14  -0.1                
 9580 2013   4   7        14  -0.9                
 9580 2013   4   8        14   1.5               
 9580 2013   4   9        14   1.3               
 9580 2013   4  10        14   1.8                
 9580 2013   4  11        14  -0.4                 
 9580 2013   4  12        14   1.1                
 9580 2013   4  13        14   7.0                
 9580 2013   4  14        14   2.5                
 9580 2013   4  15        14  10.2                 
 9580 2013   4  16        14   8.2                
 9580 2013   4  17        14   9.5                
 9580 2013   4  18        14   8.7                
 9580 2013   4  19        14   5.0                
 9580 2013   4  20        14   7.6                
 9580 2013   4  21        14   8.6                
 9580 2013   4  22        14   4.8                
 9580 2013   4  23        14   8.0                
 9580 2013   4  24        14   7.4                
 9580 2013   4  25        14   7.2                
 9580 2013   4  26        14   4.8                
 9580 2013   4  27        14   4.3                
 9580 2013   4  28        14   3.3                
 9580 2013   4  29        14   6.2                
 9580 2013   4  30        14   3.5                
 9580 2013   5   1        14   5.3               
 9580 2013   5   2        14   5.1               
 9580 2013   5   3        14   0.0               
 9580 2013   5   4        14   3.0               
 9580 2013   5   5        14  11.4                
 9580 2013   5   6        14  14.2                
 9580 2013   5   7        14  11.6                
 9580 2013   5   8        14  17.0                
 9580 2013   5   9        14  13.1                
 9580 2013   5  10        14  10.4                 
 9580 2013   5  11        14  14.0                 
 9580 2013   5  12        14   8.9                
 9580 2013   5  13        14   7.9                
 9580 2013   5  14        14   9.1                
 9580 2013   5  15        14   6.2                
 9580 2013   5  16        14  15.5                 
 9580 2013   5  17        14  20.1                 
 9580 2013   5  18        14  23.6                 
 9580 2013   5  19        14  24.6                 
 9580 2013   5  20        14  19.0                 
 9580 2013   5  21        14  13.0                 
 9580 2013   5  22        14   5.6                
 9580 2013   5  23        14  15.3                 
 9580 2013   5  24        14  13.1                 
 9580 2013   5  25        14  17.3                 
 9580 2013   5  26        14  21.0                 
 9580 2013   5  27        14  13.4                 
 9580 2013   5  28        14  18.3                 
 9580 2013   5  29        14  20.0                 
 9580 2013   5  30        14  20.6                 
 9580 2013   5  31        14  22.3                 
 9580 2013   6   1        14  18.1                
 9580 2013   6   2        14  12.6                
 9580 2013   6   3        14  10.7                
 9580 2013   6   4        14   7.7               
 9580 2013   6   5        14  12.4                
 9580 2013   6   6        14  12.6                
 9580 2013   6   7        14  14.8                
 9580 2013   6   8        14  12.0                
 9580 2013   6   9        14  11.3                
 9580 2013   6  10        14  10.8                 
 9580 2013   6  11        14  14.3                 
 9580 2013   6  12        14  20.9                 
 9580 2013   6  13        14  12.4                 
 9580 2013   6  14        14  12.4                 
 9580 2013   6  15        14  16.1                 
 9580 2013   6  16        14  12.0                 
 9580 2013   6  17        14  12.8                 
 9580 2013   6  18        14  15.2                 
 9580 2013   6  19        14  22.0                 
 9580 2013   6  20        14  15.8                 
 9580 2013   6  21        14  17.5                 
 9580 2013   6  22        14  15.4                 
 9580 2013   6  23        14  14.5                 
 9580 2013   6  24        14  16.6                 
 9580 2013   6  25        14  14.5                 
 9580 2013   6  26        14  14.5                 
 9580 2013   6  27        14  16.0                 
 9580 2013   6  28        14  16.7                 
 9580 2013   6  29        14  13.2                 
 9580 2013   6  30        14  16.2                 
 9580 2013   7   1        14  19.1                
 9580 2013   7   2        14  13.2                
 9580 2013   7   3        14  16.5                
 9580 2013   7   4        14  16.9                
 9580 2013   7   5        14  18.2                
 9580 2013   7   6        14  22.5                
 9580 2013   7   7        14  21.3                
 9580 2013   7   8        14  17.1                
 9580 2013   7   9        14  16.2                
 9580 2013   7  10        14  13.9                 
 9580 2013   7  11        14  18.8                 
 9580 2013   7  12        14  23.4                 
 9580 2013   7  13        14  16.2                 
 9580 2013   7  14        14  14.6                 
 9580 2013   7  15        14  18.0                 
 9580 2013   7  16        14  13.3                 
 9580 2013   7  17        14  21.8                 
 9580 2013   7  18        14  15.7                 
 9580 2013   7  19        14  13.2                 
 9580 2013   7  20        14  22.5                 
 9580 2013   7  21        14  16.4                 
 9580 2013   7  22        14  20.3                 
 9580 2013   7  23        14  22.7                 
 9580 2013   7  24        14  23.8                 
 9580 2013   7  25        14  23.8                 
 9580 2013   7  26        14  26.6                 
 9580 2013   7  27        14  24.1                 
 9580 2013   7  28        14  21.7                 
 9580 2013   7  29        14  21.2                 
 9580 2013   7  30        14  20.4                 
 9580 2013   7  31        14  12.6                 
 9580 2013   8   1        14  17.0                
 9580 2013   8   2        14  21.3                
 9580 2013   8   3        14  18.3                
 9580 2013   8   4        14  20.0                
 9580 2013   8   5        14  19.6                
 9580 2013   8   6        14  16.8                
 9580 2013   8   7        14  15.7                
 9580 2013   8   8        14  17.1                
 9580 2013   8   9        14  14.6                
 9580 2013   8  10        14  15.8                 
 9580 2013   8  11        14  13.8                 
 9580 2013   8  12        14  12.2                 
 9580 2013   8  13        14   9.7                
 9580 2013   8  14        14  10.6                 
 9580 2013   8  15        14  16.1                 
 9580 2013   8  16        14  13.1                 
 9580 2013   8  17        14  16.7                 
 9580 2013   8  18        14  15.2                 
 9580 2013   8  19        14  15.9                 
 9580 2013   8  20        14  15.6                 
 9580 2013   8  21        14  15.6                 
 9580 2013   8  22        14  13.6                 
 9580 2013   8  23        14  20.2                 
 9580 2013   8  24        14  21.1                 
 9580 2013   8  25        14  19.7                 
 9580 2013   8  26        14  21.4                 
 9580 2013   8  27        14  21.1                 
 9580 2013   8  28        14  14.9                 
 9580 2013   8  29        14  13.4                 
 9580 2013   8  30        14  15.2                 
 9580 2013   8  31        14  10.0                 
 9580 2013   9   1        14  11.7                
 9580 2013   9   2        14  12.4                
 9580 2013   9   3        14  17.8                
 9580 2013   9   4        14  20.0                
 9580 2013   9   5        14  18.0                
 9580 2013   9   6        14  13.9                
 9580 2013   9   7        14  19.3                
 9580 2013   9   8        14  19.7                
 9580 2013   9   9        14  20.1                
 9580 2013   9  10        14  18.2                 
 9580 2013   9  11        14  15.3                 
 9580 2013   9  12        14  18.8                 
 9580 2013   9  13        14  17.7                 
 9580 2013   9  14        14  13.3                 
 9580 2013   9  15        14  12.2                 
 9580 2013   9  16        14  10.2                 
 9580 2013   9  17        14   8.7                
 9580 2013   9  18        14  10.2                 
 9580 2013   9  19        14  11.8                 
 9580 2013   9  20        14  13.4                 
 9580 2013   9  21        14   8.0                
 9580 2013   9  22        14   9.1                
 9580 2013   9  23        14   8.5                
 9580 2013   9  24        14   8.3                
 9580 2013   9  25        14   5.3                
 9580 2013   9  26        14   5.9                
 9580 2013   9  27        14   7.1                
 9580 2013   9  28        14   8.3                
 9580 2013   9  29        14   8.1                
 9580 2013   9  30        14  12.4                 
 9580 2013  10   1        14  10.2                 
 9580 2013  10   2        14   4.7                
 9580 2013  10   3        14   9.8                
 9580 2013  10   4        14   7.5                
 9580 2013  10   5        14  12.7                 
 9580 2013  10   6        14   9.0                
 9580 2013  10   7        14  13.2                 
 9580 2013  10   8        14  12.7                 
 9580 2013  10   9        14   8.1                
 9580 2013  10  10        14   5.5                 
 9580 2013  10  11        14   5.1                 
 9580 2013  10  12        14   7.5                 
 9580 2013  10  13        14   3.1                 
 9580 2013  10  14        14   1.4                 
 9580 2013  10  15        14   6.8                 
 9580 2013  10  16        14   2.4                 
 9580 2013  10  17        14   1.6                 
 9580 2013  10  18        14   4.6                 
 9580 2013  10  19        14   0.8                 
 9580 2013  10  20        14  -4.2                  
 9580 2013  10  21        14  -0.3                  
 9580 2013  10  22        14   0.1                 
 9580 2013  10  23        14  10.8                  
 9580 2013  10  24        14   7.2                 
 9580 2013  10  25        14   3.4                 
 9580 2013  10  26        14   8.1                 
 9580 2013  10  27        14  10.2                  
 9580 2013  10  28        14   3.3                 
 9580 2013  10  29        14   2.2                 
 9580 2013  10  30        14   2.8                 
 9580 2013  10  31        14   4.2                 
 9580 2013  11   1        14   3.2                
 9580 2013  11   2        14   4.0                
 9580 2013  11   3        14   1.4                
 9580 2013  11   4        14   1.5                
 9580 2013  11   5        14   0.8                
 9580 2013  11   6        14  -1.9                 
 9580 2013  11   7        14  -2.7                 
 9580 2013  11   8        14  -3.3                 
 9580 2013  11   9        14  -1.6                 
 9580 2013  11  10        14   0.8                 
 9580 2013  11  11        14  -2.2                  
 9580 2013  11  12        14   3.9                 
 9580 2013  11  13        14  -3.5                  
 9580 2013  11  14        14   0.4                 
 9580 2013  11  15        14   2.4                 
 9580 2013  11  16        14  10.5                  
 9580 2013  11  17        14   2.5                 
 9580 2013  11  18        14   2.2                 
 9580 2013  11  19        14  -4.4                  
 9580 2013  11  20        14  -9.6                  
 9580 2013  11  21        14 -12.1                   
 9580 2013  11  22        14 -13.9                   
 9580 2013  11  23        14  -9.4                  
 9580 2013  11  24        14  -0.5                  
 9580 2013  11  25        14  -1.6                  
 9580 2013  11  26        14  -1.7                  
 9580 2013  11  27        14   7.2                 
 9580 2013  11  28        14   2.1                 
 9580 2013  11  29        14  -6.5                  
 9580 2013  11  30        14  -4.5                  
 9580 2013  12   1        14  -0.2                 
 9580 2013  12   2        14   4.6                
 9580 2013  12   3        14   1.0                
 9580 2013  12   4        14 -16.2                  
 9580 2013  12   5        14  -6.5                 
 9580 2013  12   6        14  -4.2                 
 9580 2013  12   7        14 -15.6                  
 9580 2013  12   8        14  -9.7                 
 9580 2013  12   9        14  -5.8                 
 9580 2013  12  10        14  -2.9                  
 9580 2013  12  11        14  -2.2                  
 9580 2013  12  12        14   5.1                 
 9580 2013  12  13        14  -7.1                  
 9580 2013  12  14        14  -2.1                  
 9580 2013  12  15        14  -2.1                  
 9580 2013  12  16        14   5.2                 
 9580 2013  12  17        14  -3.5                  
 9580 2013  12  18        14  -1.3                  
 9580 2013  12  19        14   1.9                 
 9580 2013  12  20        14  -9.0                  
 9580 2013  12  21        14   0.1                 
 9580 2013  12  22        14   1.0                 
 9580 2013  12  23        14 -10.3                   
 9580 2013  12  24        14   2.6                 
 9580 2013  12  25        14   2.7                 
 9580 2013  12  26        14   4.6                 
 9580 2013  12  27        14   0.6                 
 9580 2013  12  28        14   3.8                 
 9580 2013  12  29        14   2.4                 
 9580 2013  12  30        14 -12.1                   
 9580 2013  12  31        14   1.7  
